,molecule_chembl_id,canonical_smiles,bioactivity_class,MolecularWeight,LogP,NumHDonors,NumHAcceptors,PIC50
2731,CHEMBL93619,COc1cccc2c(CCC3CCN(Cc4ccccc4)CC3)noc12,active,350.4620000000001,4.681200000000004,0.0,4.0,8.15002808767115
2732,CHEMBL92736,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,active,377.48800000000006,4.631000000000004,1.0,4.0,8.550059011226661
2733,CHEMBL359570,O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1,active,375.47200000000015,4.167200000000003,1.0,4.0,9.480040819247932
2734,CHEMBL329231,O=C1CCc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1,active,389.49900000000014,4.557300000000004,1.0,4.0,9.240030142445693
2735,CHEMBL1179697,CN1C(=O)Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc21,active,389.49900000000014,4.191500000000003,0.0,4.0,9.320027305722581
2736,CHEMBL95020,O=C1Cc2c(ccc3c(CCC4CCN(Cc5ccccc5)CC4)noc23)N1,active,375.47200000000004,4.167200000000003,1.0,4.0,8.439973751087107
2737,CHEMBL93123,O=C(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1,active,439.55900000000014,5.924900000000005,1.0,4.0,8.029978734171634
2738,CHEMBL1651246,CS(=O)(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,active,413.5430000000001,4.044100000000003,1.0,5.0,7.849857838151442
2739,CHEMBL1651247,c1ccc(CN2CCC(CCc3noc4cc(C5CCCCC5)ccc34)CC2)cc1,active,402.5820000000003,6.720300000000007,0.0,3.0,9.100015437450608
2740,CHEMBL420625,Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,active,335.45100000000014,4.254800000000004,1.0,4.0,7.700057099977233
2741,CHEMBL330004,Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,active,399.33200000000005,5.435100000000005,0.0,3.0,7.299988937677887
2742,CHEMBL328102,c1ccc(CN2CCC(CCc3nsc4ccccc34)CC2)cc1,active,336.50400000000013,5.141100000000005,0.0,3.0,7.0
2743,CHEMBL92142,c1ccc(CN2CCC(CCc3nccc4ccccc34)CC2)cc1,active,330.47500000000014,5.079600000000005,0.0,2.0,6.659992382003327
2744,CHEMBL126939,C(=C/C1CCN(Cc2ccccc2)CC1)\c1noc2ccccc12,active,318.42,4.753200000000004,0.0,3.0,6.679999195735272
2746,CHEMBL92629,c1ccc(CN2CCC(CNc3noc4ccccc34)CC2)cc1,active,321.42400000000015,4.151900000000003,1.0,4.0,6.490004907986601
2747,CHEMBL328715,c1ccc(CN2CCC(CCNc3noc4ccccc34)CC2)cc1,active,335.45100000000014,4.542000000000003,1.0,4.0,6.090000275786018
2748,CHEMBL1084790,Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,active,361.48900000000003,4.746420000000004,1.0,3.0,7.92009553233328
2749,CHEMBL1084275,Cc1nc2ccc(C(=O)CCC3CCN(Cc4ccccc4)CC3)cc2s1,active,378.54100000000005,5.4798200000000055,0.0,4.0,8.169989064063882
2750,CHEMBL1083661,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CCCN2,active,362.51700000000017,4.919800000000004,1.0,3.0,7.189969213594161
2751,CHEMBL75013,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)NCCCC2,active,376.5440000000002,5.309900000000005,1.0,3.0,6.710009933945681
2752,CHEMBL1651248,O=C(CCC1CCN(Cc2ccc(F)cc2)CC1)c1cc2c3c(ccn3C(=O)CC2)c1,active,418.5120000000002,5.2419000000000056,0.0,4.0,8.33998877871067
2753,CHEMBL1651249,O=C(CCC1CCN(Cc2ccc(O)cc2)CC1)c1cc2c3c(ccn3C(=O)CC2)c1,active,416.52100000000024,4.808400000000005,1.0,5.0,9.309981219211304
2754,CHEMBL1651250,O=C(CCC1CCN(Cc2ccc([N+](=O)[O-])cc2)CC1)c1cc2c3c(ccn3C(=O)CC2)c1,active,445.51900000000035,5.011000000000005,0.0,6.0,7.36997914888659
2755,CHEMBL328468,O=C1Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2N1,active,375.4720000000001,4.167200000000003,1.0,4.0,9.019996628416253
2756,CHEMBL92463,Oc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,active,336.4350000000001,4.378200000000004,1.0,4.0,7.590066876668706
2757,CHEMBL92663,NC(=O)c1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,active,363.46100000000007,3.771500000000003,1.0,4.0,8.059981844992336
2758,CHEMBL92958,c1ccc(CN2CCC(CCc3n[nH]c4ccccc34)CC2)cc1,active,319.4520000000001,4.407700000000004,1.0,2.0,6.919987152892072
2759,CHEMBL329531,c1ccc(CN2CCC(CCc3ncnc4ccccc34)CC2)cc1,active,331.46300000000014,4.474600000000004,0.0,3.0,6.470005326930858
2760,CHEMBL93241,c1ccc(CN2CCC(CCCc3noc4ccccc34)CC2)cc1,active,334.4630000000001,5.062700000000005,0.0,3.0,6.050000457140078
2761,CHEMBL1669479,C[N+](C)(CCNC(=O)C(=O)NCC[N+](C)(C)Cc1ccccc1Cl)Cc1ccccc1Cl.[Cl-].[Cl-],active,552.374,-2.9131999999999927,2.0,2.0,9.154901959985743
2763,CHEMBL1669480,[Br-].[Br-].c1ccc2c[n+](C[n+]3ccc4ccccc4c3)ccc2c1,inactive,432.1590000000001,-2.9181999999999952,0.0,0.0,3.184422251675733
2764,CHEMBL1669481,[Br-].[Br-].c1ccc2c[n+](CCC[n+]3ccc4ccccc4c3)ccc2c1,inactive,460.2130000000002,-2.333699999999994,0.0,0.0,3.350665141287858
2765,CHEMBL1669482,[Br-].[Br-].c1ccc2c[n+](CCCC[n+]3ccc4ccccc4c3)ccc2c1,inactive,474.24000000000024,-1.943599999999994,0.0,0.0,4.443697499232712
2766,CHEMBL1669483,[Br-].[Br-].c1ccc2c[n+](CCCCC[n+]3ccc4ccccc4c3)ccc2c1,inactive,488.2670000000003,-1.5534999999999943,0.0,0.0,4.886056647693163
2767,CHEMBL1669484,[Br-].[Br-].c1ccc2c[n+](CCCCCC[n+]3ccc4ccccc4c3)ccc2c1,active,502.2940000000003,-1.1633999999999947,0.0,0.0,6.522878745280337
2768,CHEMBL1669485,[Br-].[Br-].c1ccc2c[n+](CCCCCCC[n+]3ccc4ccccc4c3)ccc2c1,active,516.3210000000004,-0.773299999999995,0.0,0.0,6.301029995663981
